     3.385      4.000      2.000      4.167      4.385      6.000      2.667      5.000  177      1.000      7.000      6.000      7.000      4.000      3.000      0.000      0.995      0.000      0.005      2.000
     3.889      2.333          *      6.000      4.111      3.000          *      6.000 1545      1.000      7.000      6.000      7.000      3.000      3.000      0.000      0.999      0.001      0.000      2.000
     3.714      2.000      3.667      4.667      4.857      4.000      4.667      5.000 1492      2.000      6.000      6.000      7.000      4.000      4.000      0.000      0.976      0.004      0.020      2.000
     2.786      3.000      1.667      3.000      4.357      5.333      4.333      4.167 1340      2.000      5.000      6.000      7.000      5.000      5.000      0.000      0.013      0.000      0.987      4.000
     4.429      4.333      2.000      6.000      4.929      5.000      3.667      6.000 1734      2.000      4.000      6.000      9.000      4.000      3.000      0.000      0.810      0.190      0.000      2.000
     2.846      3.333      1.667      4.000      4.571      5.667      3.000      5.500 1370      2.000      3.000      6.000     10.000      4.000      4.000      0.000      0.324      0.000      0.676      4.000
     3.786      4.333      4.000      3.000      3.929      5.000      4.000      3.000  499      3.000      2.000      6.000      9.000      4.000          *      0.002      0.997      0.000      0.000      2.000
     3.143      3.667      2.333      3.500      3.786      4.667      2.333      4.000  678      2.000      2.000      6.000      9.000      4.000      3.000      0.119      0.858      0.000      0.023      2.000
     1.000      1.000      1.000      1.000      4.786      5.000      4.333      5.333 1624      2.000      2.000      6.000      9.000      4.000      4.000      0.000      0.000      0.000      1.000      4.000
     2.786      2.667      2.333      3.667      5.286      5.333      5.333      6.000 1283      1.000      1.000      6.000     10.000      5.000      5.000      0.000      0.005      0.000      0.995      4.000
     3.571      2.667      2.000      4.833      4.143      4.667      3.333      5.000 1056      2.000      1.000      6.000     10.000      4.000      4.000      0.000      0.992      0.000      0.008      2.000
     4.071      4.333      2.000      5.333      2.571      2.000      2.000      3.500 1193      2.000      1.000      6.000      7.000      3.000      3.000      0.950      0.050      0.000      0.000      1.000
     3.929      4.333      2.667      4.833      5.000      5.333      4.667      5.667 1323      2.000      1.000      6.000      8.000      2.000      2.000      0.000      0.774      0.226      0.000      2.000
     1.000      1.000      1.000      1.000      3.214      5.667      1.667      3.500 1037      6.000      0.000      6.000      9.000      5.000      5.000      0.954      0.000      0.000      0.046      1.000
     3.286      2.000      2.333      5.000      5.571      5.333      5.000      6.000  217      1.000      0.000      6.000      7.000      5.000      4.000      0.000      0.261      0.006      0.733      4.000
     5.214      5.000      5.000      5.500      5.286      5.000      5.000      5.667  222      2.000      0.000      6.000      9.000      4.000      4.000      0.000      0.000      1.000      0.000      3.000
     1.429      1.000      1.000      2.000      1.786      1.667      1.000      2.500 1180      6.000      0.000      6.000      9.000      4.000      4.000      1.000      0.000      0.000      0.000      1.000
     3.769      4.667      2.500      4.167      2.462      1.667      2.500      3.333 1489      1.000      0.000      6.000      9.000      4.000      4.000      1.000      0.000      0.000      0.000      1.000
     2.214      3.000      1.000      2.833      3.500      4.000      1.667      4.500  146      1.000      0.000      6.000      8.000      4.000      4.000      0.961      0.000      0.000      0.039      1.000
     3.818      3.000      4.000      4.800      3.455      1.667      4.000      4.800 1291      1.000      0.000      6.000      8.000      4.000      3.000      0.006      0.994      0.000      0.000      2.000
     5.250      3.000          *      6.000      5.600      5.000      5.000      6.000  642      1.000      0.000      6.000      7.000      4.000      4.000      0.000      0.000      1.000      0.000      3.000
     3.786      4.000      3.333      4.000      5.071      5.667      4.333      5.167  566      1.000      0.000      6.000     10.000      3.000      4.000      0.000      0.922      0.077      0.001      2.000
     3.214      3.000      2.000      3.833      4.214      4.667      3.000      4.500  252      1.000      0.000      6.000      9.000      3.000      3.000      0.001      0.824      0.000      0.175      2.000
     2.857      2.333      1.667      4.333      2.857      2.333      1.667      4.333  891      1.000      0.000      6.000      9.000      1.000      1.000      1.000      0.000      0.000      0.000      1.000
     4.700      5.000      1.000      6.000      4.700      5.000      1.000      6.000 1142      1.000      0.000      6.000      7.000      1.000      1.000      0.000      1.000      0.000      0.000      2.000
     4.714      4.333      4.333      5.000      4.214      3.333      4.333      4.500  832      3.000      7.000      6.000      7.000      3.000      3.000      0.000      0.795      0.205      0.000      2.000
